pollutant,date,log_transformed,monitor_n,monitor_min,monitor_max,monitor_mean,model,modeled_min,modeled_max,modeled_mean,mean_error,me_mean,msne,rmse,cor_obs_pred,cor_pred_res,data_norm_test_p,cv_res_norm_test_p
44201,2010-01-01,FALSE,9,7.043478260869565,49.583333333333336,25.86453301127214,Gau,2.137404792457403,56.62884853209663,20.82650061347566,0.7339,0.02837,8.851,24,-0.5396,-0.8979,0.8664328722776115,0.8536518303161922
44201,2010-01-02,FALSE,9,4.791666666666667,49.791666666666664,23.49537037037037,Lin,4.791666666666668,25.596293215970213,15.051974870588086,1.303,0.05544,0.8483,15.19,-0.009494,-0.4501,0.8186251965929592,0.9979687419653898
44201,2010-01-03,FALSE,9,10.333333333333334,49.958333333333336,29.287037037037038,Gau,8.725392336357082,35.01793613599486,19.918080441683344,1.237,0.04224,0.8229,14.87,-0.3703,-0.6917,0.9867527791670433,0.6091180255959338
44201,2010-01-04,FALSE,9,9.375,51.083333333333336,26.90398550724638,Gau,7.771638867670967,35.11370279139409,19.140072317768333,0.6768,0.02516,0.8327,15.79,-0.5584,-0.7314,0.8504557847905755,0.6036815865733511
44201,2010-01-05,FALSE,9,10.083333333333334,51.125,26.60648148148148,Gau,-3.1650151153727677,44.77245464637367,19.396598417027636,4.724,0.1775,15.84,28.22,-0.3728,-0.9096,0.7057448921467316,0.9943092363564102
44201,2010-01-06,FALSE,9,8.130434782608695,46.541666666666664,24.73208534621578,Lin,8.130434782608695,26.015863097810232,17.778887338601365,0.777,0.03142,0.5948,10.92,0.1268,-0.1928,0.9247032275945386,0.5620232981043116
44201,2010-01-07,FALSE,9,6.5,50.583333333333336,22.74537037037037,Gau,-36.16760551502287,53.577093390527764,11.334387353124644,2.168,0.0953,238e3,34.14,0.1453,-0.9309,0.21379054888919016,0.5825826612249254
44201,2010-01-08,FALSE,9,4.833333333333333,52.791666666666664,24.590488215488215,Gau,2.432200244841715,33.24837763346872,14.190945162177398,2.295,0.09331,0.8477,15.58,0.0239,-0.3875,0.6434487124744539,0.7164865765674104
44201,2010-01-09,FALSE,9,3.7083333333333335,51.375,27.59748677248677,Gau,0.17631260897575984,37.840797828220694,16.339928203847546,0.04701,0.001704,0.7316,15.96,-0.5629,-0.7206,0.9099640736139082,0.9479194854380003
44201,2010-01-10,FALSE,9,9.5,48.166666666666664,29.39400161030596,Gau,7.596315463130347,37.15263817451361,20.05364306076273,0.2358,0.008021,0.8048,14.13,-0.3803,-0.6469,0.8350708091467286,0.33725307958510825
44201,2010-01-11,FALSE,9,5.478260869565218,53.166666666666664,27.147275899087493,Gau,3.2487422220222477,35.93759002484853,17.953599201359445,0.4327,0.01594,0.947,17.18,-0.5688,-0.7592,0.9694749243098798,0.7357461057865284
44201,2010-01-12,FALSE,9,6.333333333333333,51.333333333333336,28.405927346784125,Gau,3.3451729962859,41.85250632479113,20.242182861520792,0.3057,0.01076,0.9267,17.38,-0.6444,-0.8073,0.981990244336876,0.4115000816910762
44201,2010-01-13,FALSE,9,5.166666666666667,49.958333333333336,29.23953301127214,Gau,2.5241823154913092,37.996744228911474,17.15932167582207,1.246,0.0426,0.8418,18.25,-0.3614,-0.7264,0.9041427159739553,0.4712509375016207
44201,2010-01-14,FALSE,9,2.25,51.791666666666664,21.14814814814815,Gau,0.7241148495176368,23.781341327914138,10.666219148178232,1.212,0.05731,0.9904,16.72,-0.299,-0.6296,0.3971304826713665,0.5448684313770374
44201,2010-01-15,FALSE,9,8.541666666666666,53.625,25.123456790123456,Gau,6.809489493479058,27.04937394553689,16.37393569069498,0.22,0.008755,1.059,15.49,-0.6223,-0.7765,0.2940275065756945,0.3630338962574919
44201,2010-01-16,FALSE,9,10.041666666666666,51.791666666666664,28.337962962962962,Gau,8.640577923998283,37.17517035892959,21.570882628337007,0.1296,0.004572,0.7362,14.91,-0.5301,-0.7034,0.76504553180591,0.7505186722126439
44201,2010-01-17,FALSE,9,6.041666666666667,50.833333333333336,26.675925925925927,Gau,5.118176063880684,27.877032965555564,17.46337655222718,0.3103,0.01163,0.8803,14.82,-0.5215,-0.715,0.8872953806337951,0.6620940162018775
44201,2010-01-18,FALSE,9,7,51.375,25.26143790849673,Gau,0.7511442711051259,35.396081584980735,13.841833908849054,0.6408,0.02537,0.7866,16.9,-0.2902,-0.6705,0.844422882948682,0.857066295939598
44201,2010-01-19,FALSE,9,0.5,46,22.01851851851852,Gau,-1.7775237049820447,26.278325531620236,8.799120618114175,0.8757,0.03977,1.124,15.5,0.05021,-0.5922,0.8501575131399925,0.9370195691576092
44201,2010-01-20,FALSE,9,4.083333333333333,46.666666666666664,23.300925925925927,Gau,3.559234862842583,28.055496908186374,14.808450967387055,0.6693,0.02873,0.8879,13.43,-0.343,-0.6018,0.9233481503307329,0.6913270518645782
44201,2010-01-21,FALSE,9,1.0869565217391304,47.166666666666664,20.756494194423254,Gau,-3.060258005095294,36.06142697067533,10.697397691194976,0.8293,0.03995,1.029,15.25,-0.1971,-0.5671,0.6652107337911694,0.5563854258792836
44201,2010-01-22,FALSE,9,13.25,49.666666666666664,27.269122383252817,Gau,-13.303459896138662,38.252186961574836,16.4440397606916,1.04,0.03814,613.6,32.79,-0.1806,-0.957,0.2489963222857088,0.5169445153052985
44201,2010-01-23,FALSE,9,22.541666666666668,47.5,36.85648148148148,Gau,21.263385273915677,40.14547998544668,29.325678678752023,-0.1919,-0.005207,0.7828,8.705,0.02973,-0.464,0.6765002264730293,0.6418069734051529
