Parameter.Code,monitor_id,POC,Date.Local,Units.of.Measure,mean
44201,0013001,2,2010-04-29,Parts per billion,53.5
44201,0013001,2,2010-04-30,Parts per billion,41.875
44201,0013001,2,2010-05-01,Parts per billion,49.625
44201,0013001,2,2010-05-02,Parts per billion,45.625
44201,0013001,2,2010-05-03,Parts per billion,48.25
44201,0013001,2,2010-05-04,Parts per billion,50.125
44201,0013001,2,2010-05-05,Parts per billion,49.875
44201,0013001,2,2010-05-06,Parts per billion,48
44201,0013001,2,2010-05-07,Parts per billion,50.375
44201,0013001,2,2010-05-08,Parts per billion,43.125
44201,0013001,2,2010-05-09,Parts per billion,61
44201,0013001,2,2010-05-10,Parts per billion,60.125
44201,0013001,2,2010-05-11,Parts per billion,32.625
44201,0013001,2,2010-05-12,Parts per billion,37.125
44201,0013001,2,2010-05-13,Parts per billion,50.375
44201,0013001,2,2010-05-14,Parts per billion,36.375
44201,0013001,2,2010-05-15,Parts per billion,49.375
44201,0013001,2,2010-05-16,Parts per billion,58
44201,0013001,2,2010-05-17,Parts per billion,55
44201,0013001,2,2010-05-18,Parts per billion,46.375
44201,0013001,2,2010-05-19,Parts per billion,53.625
44201,0013001,2,2010-05-20,Parts per billion,51
44201,0013001,2,2010-05-21,Parts per billion,48.375
44201,0013001,2,2010-05-22,Parts per billion,48.375
44201,0013001,2,2010-05-23,Parts per billion,53
44201,0013001,2,2010-05-24,Parts per billion,52.75
44201,0013001,2,2010-05-25,Parts per billion,59
44201,0013001,2,2010-05-26,Parts per billion,43.5
44201,0013001,2,2010-05-27,Parts per billion,62.5
44201,0013001,2,2010-05-28,Parts per billion,41.375
44201,0013001,2,2010-05-29,Parts per billion,45.125
44201,0013001,2,2010-05-30,Parts per billion,52.75
44201,0013001,2,2010-05-31,Parts per billion,61.5
44201,0013001,2,2010-06-01,Parts per billion,56.5
44201,0013001,2,2010-06-02,Parts per billion,48.125
44201,0013001,2,2010-06-03,Parts per billion,34.875
44201,0013001,2,2010-06-04,Parts per billion,41.75
44201,0013001,2,2010-06-05,Parts per billion,41
44201,0013001,2,2010-06-06,Parts per billion,50.75
44201,0013001,2,2010-06-07,Parts per billion,54.25
44201,0013001,2,2010-06-08,Parts per billion,51.125
44201,0013001,2,2010-06-09,Parts per billion,65.125
44201,0013001,2,2010-06-10,Parts per billion,54.625
44201,0013001,2,2010-06-11,Parts per billion,53.125
44201,0013001,2,2010-06-12,Parts per billion,38
44201,0013001,2,2010-06-13,Parts per billion,29.875
44201,0013001,2,2010-06-14,Parts per billion,58.25
44201,0013001,2,2010-08-17,Parts per billion,58.25
44201,0013001,2,2010-08-18,Parts per billion,46.25
44201,0013001,2,2010-08-19,Parts per billion,52.625
44201,0013001,2,2010-08-20,Parts per billion,58.875
44201,0013001,2,2010-08-21,Parts per billion,58
44201,0013001,2,2010-08-24,Parts per billion,55.375
44201,0013001,2,2010-08-25,Parts per billion,63.75
44201,0013001,2,2010-08-26,Parts per billion,58
44201,0013001,2,2010-08-30,Parts per billion,51.125
44201,0013001,2,2010-08-31,Parts per billion,51.125
44201,0013001,2,2010-09-01,Parts per billion,44.125
44201,0013001,2,2010-09-02,Parts per billion,44.5
44201,0013001,2,2010-09-03,Parts per billion,52.875
44201,0013001,2,2010-09-04,Parts per billion,41.375
44201,0013001,2,2010-09-05,Parts per billion,49.625
44201,0013001,2,2010-09-06,Parts per billion,54.75
44201,0013001,2,2010-09-07,Parts per billion,46.75
44201,0013001,2,2010-09-08,Parts per billion,35.125
44201,0013001,2,2010-09-09,Parts per billion,54.125
44201,0013001,2,2010-09-10,Parts per billion,57.625
44201,0013001,2,2010-09-11,Parts per billion,60.875
44201,0013001,2,2010-09-12,Parts per billion,56.375
44201,0013001,2,2010-09-13,Parts per billion,50.125
44201,0013001,2,2010-09-14,Parts per billion,52.875
44201,0013001,2,2010-09-15,Parts per billion,55.25
44201,0013001,2,2010-09-16,Parts per billion,48.375
44201,0013001,2,2010-09-17,Parts per billion,52.375
44201,0013001,2,2010-09-18,Parts per billion,31.125
44201,0013001,2,2010-09-19,Parts per billion,48.875
44201,0013001,2,2010-09-20,Parts per billion,45.5
44201,0013001,2,2010-09-21,Parts per billion,48.875
44201,0013001,2,2010-09-22,Parts per billion,18.75
44201,0013001,2,2010-09-23,Parts per billion,48.625
44201,0013001,2,2010-09-24,Parts per billion,51.375
44201,0013001,2,2010-09-25,Parts per billion,51.875
44201,0013001,2,2010-09-26,Parts per billion,52.625
44201,0013001,2,2010-09-27,Parts per billion,35
44201,0013001,2,2010-09-28,Parts per billion,36.625
44201,0013001,2,2010-09-29,Parts per billion,42.25
44201,0013001,2,2010-09-30,Parts per billion,43.25
44201,0013001,2,2010-10-01,Parts per billion,59.5
44201,0013001,2,2010-10-02,Parts per billion,42.75
44201,0013001,2,2010-10-03,Parts per billion,47.125
44201,0013001,2,2010-10-04,Parts per billion,43.75
44201,0013001,2,2010-10-05,Parts per billion,33.75
44201,0013001,2,2010-10-06,Parts per billion,42.875
44201,0013001,2,2010-10-07,Parts per billion,43.875
44201,0013001,2,2010-10-08,Parts per billion,44.625
44201,0013001,2,2010-10-09,Parts per billion,53.75
44201,0013001,2,2010-10-10,Parts per billion,30.375
44201,0013001,2,2010-10-11,Parts per billion,46.25
44201,0013001,2,2010-10-12,Parts per billion,33.625
44201,0013001,2,2010-10-13,Parts per billion,47.75
44201,0013001,2,2010-10-20,Parts per billion,38.875
44201,0013001,2,2010-10-21,Parts per billion,37.875
44201,0013001,2,2010-10-22,Parts per billion,31.25
44201,0013001,2,2010-10-23,Parts per billion,39.375
44201,0013001,2,2010-10-24,Parts per billion,44
44201,0013001,2,2010-10-25,Parts per billion,47.25
44201,0013001,2,2010-10-26,Parts per billion,44.875
44201,0013001,2,2010-10-27,Parts per billion,41.75
44201,0013001,2,2010-10-28,Parts per billion,25.125
44201,0013001,2,2010-10-29,Parts per billion,32.875
44201,0013001,2,2010-10-30,Parts per billion,45.625
44201,0013001,2,2010-10-31,Parts per billion,52.75
44201,0013001,2,2010-11-01,Parts per billion,45
44201,0013001,2,2010-11-02,Parts per billion,34.375
44201,0013001,2,2010-11-03,Parts per billion,40.5
44201,0013001,2,2010-11-04,Parts per billion,19
44201,0013001,2,2010-11-05,Parts per billion,34.75
44201,0013001,2,2010-11-06,Parts per billion,33.125
44201,0013001,2,2010-11-07,Parts per billion,45.5
44201,0013001,2,2010-11-08,Parts per billion,24.125
44201,0013001,2,2010-11-17,Parts per billion,9.375
44201,0013001,2,2010-11-18,Parts per billion,9.375
44201,0013001,2,2010-11-19,Parts per billion,10.125
44201,0013001,2,2010-11-20,Parts per billion,13.5
44201,0013001,2,2010-11-21,Parts per billion,14.25
44201,0013001,2,2010-11-22,Parts per billion,32
44201,0013001,2,2010-11-23,Parts per billion,20.375
44201,0013001,2,2010-11-24,Parts per billion,35
44201,0013001,2,2010-11-25,Parts per billion,38.375
44201,0013001,2,2010-11-26,Parts per billion,29.375
44201,0013001,2,2010-11-27,Parts per billion,29.25
44201,0013001,2,2010-11-28,Parts per billion,36.5
44201,0013001,2,2010-11-29,Parts per billion,38.75
44201,0013001,2,2010-11-30,Parts per billion,38
44201,0013001,2,2010-12-01,Parts per billion,34
44201,0013001,2,2010-12-02,Parts per billion,9.5
44201,0013001,2,2010-12-03,Parts per billion,35.75
44201,0013001,2,2010-12-04,Parts per billion,35
44201,0013001,2,2010-12-05,Parts per billion,17.375
44201,0013001,2,2010-12-06,Parts per billion,6
44201,0013001,2,2010-12-07,Parts per billion,27.25
44201,0013001,2,2010-12-08,Parts per billion,17.25
44201,0013001,2,2010-12-09,Parts per billion,32
44201,0013001,2,2010-12-10,Parts per billion,37.5
44201,0013001,2,2010-12-11,Parts per billion,41.625
44201,0013001,2,2010-12-12,Parts per billion,30.625
44201,0013001,2,2010-12-13,Parts per billion,33.375
44201,0013001,2,2010-12-14,Parts per billion,12.875
44201,0013001,2,2010-12-15,Parts per billion,26.375
44201,0013001,2,2010-12-16,Parts per billion,36.875
44201,0013001,2,2010-12-17,Parts per billion,25.875
44201,0013001,2,2010-12-18,Parts per billion,19.25
44201,0013001,2,2010-12-19,Parts per billion,9.5
44201,0013001,2,2010-12-20,Parts per billion,35.375
44201,0013001,2,2010-12-21,Parts per billion,31.125
44201,0013001,2,2010-12-22,Parts per billion,3.875
44201,0013001,2,2010-12-23,Parts per billion,8.125
44201,0013001,2,2010-12-24,Parts per billion,32.5
44201,0013001,2,2010-12-25,Parts per billion,30.75
44201,0013001,2,2010-12-26,Parts per billion,17.625
44201,0013001,2,2010-12-27,Parts per billion,31.25
44201,0013001,2,2010-12-28,Parts per billion,16.75
44201,0013001,2,2010-12-29,Parts per billion,23.875
44201,0013001,2,2010-12-30,Parts per billion,35.25
44201,0013001,2,2010-12-31,Parts per billion,35.125
44201,0050002,1,2010-01-01,Parts per billion,29.125
44201,0050002,1,2010-01-02,Parts per billion,28.125
44201,0050002,1,2010-01-03,Parts per billion,33
44201,0050002,1,2010-01-04,Parts per billion,35.5
44201,0050002,1,2010-01-05,Parts per billion,32.625
44201,0050002,1,2010-01-06,Parts per billion,22.125
44201,0050002,1,2010-01-07,Parts per billion,32.375
44201,0050002,1,2010-01-08,Parts per billion,36.625
44201,0050002,1,2010-01-09,Parts per billion,40.5
44201,0050002,1,2010-01-10,Parts per billion,38
44201,0050002,1,2010-01-11,Parts per billion,35.625
44201,0050002,1,2010-01-12,Parts per billion,38.625
44201,0050002,1,2010-01-13,Parts per billion,36.375
44201,0050002,1,2010-01-14,Parts per billion,30
44201,0050002,1,2010-01-15,Parts per billion,40.625
44201,0050002,1,2010-01-16,Parts per billion,37.875
44201,0050002,1,2010-01-17,Parts per billion,33.5
44201,0050002,1,2010-01-18,Parts per billion,37
44201,0050002,1,2010-01-19,Parts per billion,29.875
44201,0050002,1,2010-01-20,Parts per billion,29.5
44201,0050002,1,2010-01-21,Parts per billion,27.5
44201,0050002,1,2010-01-22,Parts per billion,40.75
44201,0050002,1,2010-01-23,Parts per billion,42.5
44201,0050002,1,2010-01-24,Parts per billion,39.75
44201,0050002,1,2010-01-25,Parts per billion,40.75
44201,0050002,1,2010-01-26,Parts per billion,12.5
44201,0050002,1,2010-01-27,Parts per billion,30.75
44201,0050002,1,2010-01-28,Parts per billion,9.75
44201,0050002,1,2010-01-29,Parts per billion,30.875
44201,0050002,1,2010-01-30,Parts per billion,39
44201,0050002,1,2010-01-31,Parts per billion,27
44201,0050002,1,2010-02-01,Parts per billion,42.375
44201,0050002,1,2010-02-02,Parts per billion,38.5
44201,0050002,1,2010-02-03,Parts per billion,38.125
44201,0050002,1,2010-02-04,Parts per billion,44.375
44201,0050002,1,2010-02-05,Parts per billion,36.5
44201,0050002,1,2010-02-06,Parts per billion,13.5
44201,0050002,1,2010-02-07,Parts per billion,19.625
44201,0050002,1,2010-02-08,Parts per billion,32.875
44201,0050002,1,2010-02-09,Parts per billion,33.125
44201,0050002,1,2010-02-10,Parts per billion,43
44201,0050002,1,2010-02-11,Parts per billion,36.625
44201,0050002,1,2010-02-12,Parts per billion,39.5
