var1.pred,var1.var,observed,residual,zscore,fold,coords.x1,coords.x2,pollutant,date
25.19407751871114,34.96796332597009,15.541666666666666,-9.652410852044474,-1.6323024416161642,1,-761416.5749401435,1874465.8447751973,44201,2010-01-01
4.184454036441366,60.427673977787464,37.65217391304348,33.46771987660211,4.305347261359683,2,-727824.887142112,1879308.9304132264,44201,2010-01-01
13.233777527121628,56.59382946953048,23.52173913043478,10.287961603313153,1.3675549750780442,3,-781017.184972822,1920175.685619658,44201,2010-01-01
25.614910326867744,36.508609502334004,7.043478260869565,-18.571432065998177,-3.073602833129436,4,-763442.5088302434,1889980.0152993698,44201,2010-01-01
24.512410866035026,36.17741655989279,23.52173913043478,-0.9906717356002446,-0.1647065981052342,5,-771363.9500667664,1871652.3524933874,44201,2010-01-01
34.31131488850326,48.481894030067934,26.041666666666668,-8.269648221836594,-1.1876739932619889,6,-755881.2539444161,1805331.5072019023,44201,2010-01-01
29.823427065902475,61.13031022785966,35.916666666666664,6.093239600764189,0.7793274186783417,7,-764171.0228483846,1794258.958181908,44201,2010-01-01
11.24864688580783,61.24959081891249,49.583333333333336,38.334686447525506,4.898242920990706,8,-968389.7566848311,1880705.674906776,44201,2010-01-01
58.05306817108726,92.15036055849339,13.958333333333334,-44.094734837753926,-4.593441776562885,9,-1001000.3033597687,1897776.7007326712,44201,2010-01-01
16.865567019742656,97.05248478230378,11.583333333333334,-5.282233686409322,-0.5361845318755248,1,-761416.5749401435,1874465.8447751973,44201,2010-01-02
19.63309123240706,316.93299069769796,33.625,13.991908767592939,0.7859469633436561,2,-727824.887142112,1879308.9304132264,44201,2010-01-02
22.29917070068029,334.56033575561446,24.958333333333332,2.659162632653043,0.14538100730925865,3,-781017.184972822,1920175.685619658,44201,2010-01-02
17.66501234514694,168.62114706176038,4.791666666666667,-12.873345678480273,-0.9913691760096616,4,-763442.5088302434,1889980.0152993698,44201,2010-01-02
12.01601533158685,126.46108223022289,19.166666666666668,7.150651335079818,0.6358682718242559,5,-771363.9500667664,1871652.3524933874,44201,2010-01-02
32.58400935052738,170.46384008295118,23.708333333333332,-8.87567601719405,-0.6798064913250155,6,-755881.2539444161,1805331.5072019023,44201,2010-01-02
24.447487423017098,170.46384008295118,34.791666666666664,10.344179243649567,0.7922822085483884,7,-764171.0228483846,1794258.958181908,44201,2010-01-02
20.73010658531747,340.94119532453976,49.791666666666664,29.061560081349196,1.5739074266538848,8,-968389.7566848311,1880705.674906776,44201,2010-01-02
33.49498140639312,340.94119532453976,9.041666666666666,-24.45331473972646,-1.324335430287526,9,-1001000.3033597687,1897776.7007326712,44201,2010-01-02
24.682994916694266,52.218328311675386,24.291666666666668,-0.3913282500275983,-0.05415389749493276,1,-761416.5749401435,1874465.8447751973,44201,2010-01-03
26.055581882958364,428.98648888010223,39.541666666666664,13.4860847837083,0.6511245624530656,2,-727824.887142112,1879308.9304132264,44201,2010-01-03
22.80741552850825,453.8774552652185,30.75,7.942584471491749,0.37281427814535334,3,-781017.184972822,1920175.685619658,44201,2010-01-03
24.962415039478692,154.67559740333397,10.333333333333334,-14.629081706145358,-1.1762676808392178,4,-763442.5088302434,1889980.0152993698,44201,2010-01-03
25.074520860024496,82.30684156135841,29.791666666666668,4.717145806642172,0.5199497003526378,5,-771363.9500667664,1871652.3524933874,44201,2010-01-03
38.24297843295951,151.26578578370604,22.708333333333332,-15.534645099626179,-1.263080359494013,6,-755881.2539444161,1805331.5072019023,44201,2010-01-03
24.16750584794905,151.63752273513106,38.833333333333336,14.665827485384284,1.1909766081804447,7,-764171.0228483846,1794258.958181908,44201,2010-01-03
26.57438315688153,484.97370563735143,49.958333333333336,23.383950176451805,1.0618392648448896,8,-968389.7566848311,1880705.674906776,44201,2010-01-03
39.88292761246185,484.97370563735143,17.375,-22.50792761246185,-1.022060050968897,9,-1001000.3033597687,1897776.7007326712,44201,2010-01-03
25.826240681188573,106.39371339883897,24.666666666666668,-1.1595740145219047,-0.11241920012765681,1,-761416.5749401435,1874465.8447751973,44201,2010-01-04
25.19593223110105,427.6675280087264,40.708333333333336,15.512401102232285,0.7501116102572672,2,-727824.887142112,1879308.9304132264,44201,2010-01-04
27.785422162140105,430.0225165590867,21.166666666666668,-6.618755495473437,-0.319176376358306,3,-781017.184972822,1920175.685619658,44201,2010-01-04
25.42073011345343,246.33991203640662,9.375,-16.04573011345343,-1.0223323232250023,4,-763442.5088302434,1889980.0152993698,44201,2010-01-04
25.744126811958644,139.359131333488,32.041666666666664,6.29753985470802,0.5334616567087985,5,-771363.9500667664,1871652.3524933874,44201,2010-01-04
32.82562568485054,215.27486481933835,12.26086956521739,-20.564756119633152,-1.4016090755177044,6,-755881.2539444161,1805331.5072019023,44201,2010-01-04
17.22411098172367,215.27725049618337,34,16.77588901827633,1.143369163985957,7,-764171.0228483846,1794258.958181908,44201,2010-01-04
24.09890961153547,431.4675298548917,51.083333333333336,26.984423721797867,1.2990895477553555,8,-968389.7566848311,1880705.674906776,44201,2010-01-04
31.923622873381294,431.4675298548917,16.833333333333332,-15.090289540047962,-0.7264797505474453,9,-1001000.3033597687,1897776.7007326712,44201,2010-01-04
17.988931011216167,2.2636175507361247,24.041666666666668,6.052735655450501,4.02300137373678,1,-761416.5749401435,1874465.8447751973,44201,2010-01-05
23.666719547630038,131.18508770177007,39.208333333333336,15.541613785703298,1.3569188555749019,2,-727824.887142112,1879308.9304132264,44201,2010-01-05
-20.7486399297337,86.69082563043601,31.25,51.9986399297337,5.584771578912561,3,-781017.184972822,1920175.685619658,44201,2010-01-05
