Parameter.Code,monitor_id,POC,Date.Local,Units.of.Measure,d8hmax
44201,0310014,2,2010-04-12,Parts per million,0.050624999999999996
44201,0310014,2,2010-04-13,Parts per million,0.06925
44201,0310014,2,2010-04-14,Parts per million,0.060125
44201,0310014,2,2010-04-15,Parts per million,0.050875
44201,0310014,2,2010-04-16,Parts per million,0.034125
44201,0310014,2,2010-04-17,Parts per million,0.025875
44201,0310014,2,2010-04-18,Parts per million,0.057874999999999996
44201,0310014,2,2010-04-19,Parts per million,0.055875
44201,0310014,2,2010-04-20,Parts per million,0.027
44201,0310014,2,2010-04-21,Parts per million,0.039125
44201,0310014,2,2010-04-22,Parts per million,0.04575
44201,0310014,2,2010-04-23,Parts per million,0.05225
44201,0310014,2,2010-04-24,Parts per million,0.058125
44201,0310014,2,2010-04-25,Parts per million,0.052625
44201,0310014,2,2010-04-26,Parts per million,0.05
44201,0310014,2,2010-04-27,Parts per million,0.054625
44201,0310014,2,2010-04-28,Parts per million,0.054625
44201,0310014,2,2010-04-29,Parts per million,0.05375
44201,0310014,2,2010-04-30,Parts per million,0.04075
44201,0310014,2,2010-05-01,Parts per million,0.049375
44201,0310014,2,2010-05-02,Parts per million,0.044875
44201,0310014,2,2010-05-03,Parts per million,0.050375
44201,0310014,2,2010-05-04,Parts per million,0.052625
44201,0310014,2,2010-05-05,Parts per million,0.05
44201,0310014,2,2010-05-06,Parts per million,0.042374999999999996
44201,0310014,2,2010-05-07,Parts per million,0.04675
44201,0310014,2,2010-05-08,Parts per million,0.04075
44201,0310014,2,2010-05-09,Parts per million,0.057
44201,0310014,2,2010-05-10,Parts per million,0.06175
44201,0310014,2,2010-05-11,Parts per million,0.028625
44201,0310014,2,2010-05-12,Parts per million,0.031875
44201,0310014,2,2010-05-13,Parts per million,0.0405
44201,0310014,2,2010-05-14,Parts per million,0.0285
44201,0310014,2,2010-05-15,Parts per million,0.04725
44201,0310014,2,2010-05-16,Parts per million,0.054375
44201,0310014,2,2010-05-17,Parts per million,0.048
44201,0310014,2,2010-05-18,Parts per million,0.039625
44201,0310014,2,2010-05-19,Parts per million,0.045875
44201,0310014,2,2010-05-20,Parts per million,0.049
44201,0310014,2,2010-05-21,Parts per million,0.05075
44201,0310014,2,2010-05-22,Parts per million,0.05475
